Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Jonathan Isaac,ORL,GSW,L,10.57,1,7,0.143,0,3,0.0,0,0,0.0,4,2,6,1.0,1,0,0,3,2,1.4,2025-02-03
Dillon Jones,OKC,MIL,W,25.32,0,3,0.0,0,1,0.0,0,0,0.0,1,8,9,4.0,0,0,2,2,0,1.0,2025-02-03
Alex Ducas,OKC,MIL,W,13.82,1,6,0.167,0,3,0.0,0,0,0.0,2,5,7,0.0,0,0,0,1,2,0.7,2025-02-03
Anthony Black,ORL,GSW,L,16.23,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1.0,0,0,0,2,0,0.2,2025-02-03
Adam Flagler,OKC,MIL,W,12.0,1,11,0.091,0,8,0.0,0,0,0.0,0,0,0,0.0,2,0,0,0,2,-3.3,2025-02-03
Shai Gilgeous-Alexander,OKC,PHO,W,34.25,18,29,0.621,3,7,0.429,11,12,0.917,2,6,8,5.0,2,1,1,3,50,43.7,2025-02-05
Franz Wagner,ORL,SAC,W,26.78,12,22,0.545,5,6,0.833,2,2,1.0,1,4,5,3.0,0,0,0,1,31,24.0,2025-02-05
Paolo Banchero,ORL,SAC,W,31.27,9,15,0.6,1,3,0.333,4,5,0.8,0,0,0,9.0,1,0,2,1,23,20.6,2025-02-05
Aaron Wiggins,OKC,PHO,W,24.9,6,8,0.75,1,2,0.5,4,4,1.0,4,2,6,1.0,1,0,0,2,17,18.1,2025-02-05
Goga Bitadze,ORL,SAC,W,22.53,7,7,1.0,0,0,0.0,0,0,0.0,3,4,7,2.0,0,2,1,2,14,16.2,2025-02-05
Jalen Williams,OKC,PHO,W,25.53,6,12,0.5,1,3,0.333,0,0,0.0,1,2,3,4.0,2,0,0,0,13,13.1,2025-02-05
Cole Anthony,ORL,SAC,W,23.48,5,9,0.556,2,4,0.5,2,2,1.0,0,2,2,3.0,0,1,0,2,14,12.3,2025-02-05
Anthony Black,ORL,SAC,W,16.1,4,10,0.4,1,3,0.333,6,6,1.0,1,0,1,3.0,1,0,0,3,15,12.2,2025-02-05
Wendell Carter Jr.,ORL,SAC,W,19.78,3,4,0.75,2,2,1.0,0,0,0.0,2,6,8,3.0,2,0,0,4,8,12.1,2025-02-05
Tristan Da Silva,ORL,SAC,W,18.18,5,5,1.0,1,1,1.0,0,0,0.0,0,2,2,3.0,1,0,1,2,11,11.4,2025-02-05
Isaiah Joe,OKC,PHO,W,21.27,5,8,0.625,2,5,0.4,0,0,0.0,1,2,3,1.0,1,0,0,1,12,11.0,2025-02-05
Isaiah Hartenstein,OKC,PHO,W,25.53,3,6,0.5,0,0,0.0,3,4,0.75,2,2,4,4.0,1,0,1,4,9,8.8,2025-02-05
Luguentz Dort,OKC,PHO,W,26.22,3,7,0.429,1,5,0.2,0,0,0.0,1,1,2,1.0,4,1,0,3,7,8.5,2025-02-05
Adam Flagler,OKC,PHO,W,5.68,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,0.0,1,0,0,1,7,6.0,2025-02-05
Kenrich Williams,OKC,PHO,W,16.25,2,3,0.667,1,2,0.5,0,0,0.0,1,2,3,1.0,1,0,0,2,5,5.9,2025-02-05
Jaylin Williams,OKC,PHO,W,21.82,0,9,0.0,0,7,0.0,4,4,1.0,3,9,12,3.0,0,1,0,0,4,5.3,2025-02-05
Kentavious Caldwell-Pope,ORL,SAC,W,21.77,3,6,0.5,2,5,0.4,0,0,0.0,0,2,2,1.0,0,0,1,2,8,4.5,2025-02-05
Dillon Jones,OKC,PHO,W,6.5,2,4,0.5,0,1,0.0,2,3,0.667,1,1,2,2.0,0,0,1,2,6,4.2,2025-02-05
Jonathan Isaac,ORL,SAC,W,20.75,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,2.0,3,0,1,2,0,3.2,2025-02-05
Alex Caruso,OKC,PHO,W,17.2,2,6,0.333,1,5,0.2,0,0,0.0,1,0,1,2.0,1,1,1,4,5,2.8,2025-02-05
Ousmane Dieng,OKC,PHO,W,8.78,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,0.0,1,0,1,1,5,2.6,2025-02-05
Caleb Houstan,ORL,SAC,W,7.03,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0.0,0,0,0,1,3,1.2,2025-02-05
Gary Harris,ORL,SAC,W,14.72,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,1.0,0,0,0,1,0,0.5,2025-02-05
Jett Howard,ORL,SAC,W,5.68,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0.0,0,0,2,1,3,-0.4,2025-02-05
Cory Joseph,ORL,SAC,W,4.78,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-0.7,2025-02-05
Alex Ducas,OKC,PHO,W,6.07,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0.0,0,0,0,0,0,-0.8,2025-02-05
Trevelin Queen,ORL,SAC,W,7.13,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0.0,0,0,0,2,0,-1.5,2025-02-05
Paolo Banchero,ORL,DEN,L,29.68,6,14,0.429,1,3,0.333,5,8,0.625,0,8,8,4.0,1,3,1,3,18,15.5,2025-02-06
Wendell Carter Jr.,ORL,DEN,L,26.15,7,9,0.778,1,3,0.333,4,5,0.8,3,1,4,0.0,1,0,2,3,19,15.3,2025-02-06
Franz Wagner,ORL,DEN,L,29.52,6,17,0.353,0,3,0.0,2,2,1.0,2,2,4,4.0,2,1,1,2,14,10.2,2025-02-06
Kentavious Caldwell-Pope,ORL,DEN,L,26.57,2,6,0.333,1,3,0.333,2,2,1.0,1,3,4,3.0,1,0,0,1,7,7.9,2025-02-06
